index,Price
0,1968625.0
1,1968625.0
2,1664375.0
3,1664375.0
4,1585500.0
5,1585500.0
6,1585500.0
7,1699250.0
8,912750.0
9,912750.0
10,1741250.0
11,1741250.0
12,1865000.0
13,1865000.0
14,1435000.0
15,1435000.0
16,1435000.0
17,844750.0
18,779500.0
19,1857250.0
20,1791250.0
21,1879500.0
22,2438750.0
23,2279000.0
24,2341875.0
25,1435000.0
26,1942500.0
27,941250.0
28,1482375.0
29,942500.0
30,1680000.0
31,891875.0
32,1257500.0
33,917500.0
34,1942500.0
35,1403000.0
36,545625.0
37,545625.0
38,1015000.0
39,1814250.0
40,1814250.0
41,1311750.0
42,921250.0
43,921250.0
44,921250.0
45,782500.0
46,1435000.0
47,978000.0
48,1241250.0
49,824625.0
50,1967500.0
51,1967500.0
52,1967500.0
53,1642250.0
54,614200.0
55,614200.0
56,2071250.0
57,2278750.0
58,1178500.0
59,426000.0
60,426000.0
61,949250.0
62,949250.0
63,949250.0
64,949250.0
65,843000.0
66,843000.0
67,843000.0
68,1196750.0
69,1196750.0
70,1196750.0
71,1009000.0
72,1009000.0
73,1258750.0
74,1965625.0
75,4036250.0
76,3279375.0
77,3279375.0
78,3279375.0
79,3279375.0
80,3279375.0
81,3488750.0
82,3488750.0
83,2845000.0
84,1538500.0
85,1847625.0
86,1847625.0
87,3158750.0
88,3158750.0
89,1178500.0
90,1190250.0
91,1258750.0
92,875000.0
93,828750.0
94,1657500.0
95,1025000.0
96,742625.0
97,870000.0
98,1015000.0
99,921250.0
100,657250.0
101,1130000.0
102,1130000.0
103,937500.0
104,1064750.0
105,1074000.0
106,1324250.0
107,484375.0
108,1033625.0
109,1033625.0
110,484375.0
111,1683000.0
112,1033625.0
113,953250.0
114,953250.0
115,2103500.0
116,1856500.0
117,2246500.0
118,2834000.0
119,1334000.0
120,1334000.0
121,2323750.0
122,2323750.0
123,2219125.0
124,2094125.0
125,2094125.0
126,1817500.0
127,1756500.0
128,1037500.0
129,1171250.0
130,1714750.0
131,2422500.0
132,1879500.0
133,1078875.0
134,1698000.0
135,2670000.0
136,2786750.0
137,1254250.0
138,1254250.0
139,1388000.0
140,1388000.0
141,1388000.0
142,2670000.0
143,2670000.0
144,2670000.0
145,2670000.0
146,2670000.0
147,2413750.0
148,2072750.0
149,2072750.0
150,2072750.0
151,2751250.0
152,2751250.0
153,2751250.0
154,2751250.0
155,1985250.0
156,1985250.0
157,1007000.0
158,779250.0
159,779250.0
160,1353750.0
161,1254250.0
162,1222500.0
163,1726250.0
164,1238250.0
165,1340250.0
166,1340250.0
167,1340250.0
168,1798750.0
169,1490875.0
170,1744000.0
171,1556375.0
172,1759000.0
173,1437750.0
