index,Price
0,1809058.010628799
1,521427.3450955802
2,1450315.9063162017
3,538358.17360286
4,737131.3167627715
5,872243.4416955467
6,284338.4782944792
7,1468873.141909149
8,662640.0015893783
9,1458485.5697688577
10,2354550.4562151013
11,888182.2465267677
12,1239395.9340951564
13,629449.0756299968
14,726642.0961550102
15,693943.3758772933
16,551024.5250180969
17,835779.4309820277
18,2110100.7116930345
19,573365.6387081917
20,1083075.7833832682
21,929337.5902289073
22,1238025.6681205109
23,1684097.3531874605
24,1656028.1366346925
25,911683.1454097359
26,743762.7517507761
27,753596.2763886624
28,482183.01741326146
29,1118533.0232719425
30,606215.0473186744
31,1457223.239310739
32,-129099.26992002042
33,274422.7923701783
34,745682.7553546308
35,551506.8298162539
36,1762100.5411707386
37,533686.5429140303
38,1408558.267007803
39,847260.0438467297
40,1368917.7834300976
41,1121866.7519302024
42,1538835.5418336573
43,52530.153646126855
44,1321565.4884771013
45,1225454.687590311
46,750759.0966039677
47,597441.597153346
48,374745.2291870781
49,969079.8150172937
50,752313.0258546066
51,2335327.382692377
52,1158759.0983318873
53,840825.8060611188
54,1740385.8986281082
55,291278.73989078787
56,790645.1207142461
57,1516411.9504663208
58,1216638.7854929091
59,1675854.4135328885
60,731707.5258840043
61,970403.359864929
62,1280137.1655201279
63,1418262.6582242672
64,2201864.666595701
65,1454435.1974376468
66,1714427.5611472917
67,531920.1402922112
68,1281671.9523912105
69,977913.6777661592
70,873537.1040799492
71,1562605.2873399905
72,1169706.6902946448
73,2347208.2077936567
74,1015098.9404135202
75,2118007.321216622
76,698216.6826539247
77,1393774.0457421662
78,819950.0976760644
79,2518175.7944038976
80,753645.7418709372
81,960691.3616172625
82,487695.76141043066
83,1530708.3652986751
84,1297353.980236401
85,992273.681318149
86,991868.4064320344
87,1445582.9739656718
88,44567.72633701621
89,184051.98979866854
90,454014.20738980954
91,1365316.020183822
92,1154345.9219986396
93,1889626.8663954674
94,1095585.5736971751
95,2046544.36383334
96,285206.2577583386
97,2172229.1132030534
98,1496338.797387158
99,1308973.6386349164
100,251021.9686769211
101,1488044.0462271057
102,1872256.5087460242
103,1500219.1313675311
104,212146.2673422757
105,784212.9791428393
106,1647446.2962744315
107,1562764.2874404276
108,494958.179861526
109,1845480.5759637589
110,2115811.466257617
111,1875756.8397590783
112,785150.256132938
113,1573620.908770716
114,2167087.5623342786
115,535007.9321794808
116,1660312.0227968255
117,2409236.80860591
118,1249970.6158186407
119,1250294.802954093
120,1664069.8993775388
121,197501.83704214892
122,1283896.3973817048
123,1246303.7415693514
124,1201471.321511719
125,1241855.2345857709
126,2112813.5245339433
127,993379.059469658
128,817229.9915611881
129,882266.3192875395
130,349029.336229549
131,667661.361918438
132,979385.5057121492
133,2438673.6971044606
134,1017567.5531560141
135,1045849.0397616914
136,961903.215965454
137,739913.090861253
138,817714.4980858627
139,517679.17697303114
140,1206267.2179521655
141,1227008.0113465132
142,1004465.2061787248
143,1024509.4749851236
144,1191581.9873787775
145,1938176.1718742559
146,2020801.6258900901
147,832840.4711291455
148,1439725.289211344
149,1188808.5594105944
150,241293.48872089665
151,902303.9161867222
152,435105.83357131574
153,785010.1752054372
154,1216590.1923650869
155,1536693.2530660147
156,1888956.704048357
157,1212938.916625481
158,587197.6862145364
159,941287.4714109842
160,1048015.3041224612
161,1789647.501044292
162,1682645.3575829435
163,576024.6374382069
164,1339954.1239675484
165,1866557.0639103227
166,1320443.4105740893
167,707041.7714988461
168,225304.70268022467
169,528241.7084058801
170,1763407.5961482972
171,1377578.7201136302
172,920583.8353430554
173,729184.0394516434
174,570664.7287185206
175,1128913.0488700313
176,501226.9549730392
177,1164398.5345552918
178,1672147.4917783109
179,788507.5584123074
180,1876045.956697505
181,1145553.7371764272
182,687189.9399330211
183,766450.4717740307
184,1669372.7229769411
185,1344779.4187653724
186,2024703.4929867415
187,1840292.0710176737
188,856911.7139716679
189,776982.2235983822
190,898352.6839318704
191,981199.6535064396
192,583559.2560309088
193,1169730.870873062
194,442050.8431288324
195,1087712.323758849
196,1025812.1772853245
197,640861.3427875931
198,912701.1000285423
199,1109777.0845417948
200,822663.3030922681
201,1054369.2225093872
202,551336.9990266822
203,1186080.8747987011
204,1404797.6401311252
205,2179700.6103643896
206,591322.7437381237
207,1815897.9695566487
208,783590.8722875617
209,1326427.1143050864
210,787175.4595460978
211,859184.833287904
212,1574885.5645674306
213,1376613.7770860693
214,784103.001906395
215,1006744.1320160273
216,998821.7051335401
217,945492.1159601379
218,1871361.2896382185
219,799253.7670610305
220,1162764.4377287882
221,1380316.2624935776
222,1818401.741034789
223,1746842.0183772906
224,992203.9610725422
225,1317179.7029458978
226,1138557.8339415975
227,856944.4240003731
228,826274.1227542832
229,686817.0041908792
230,867610.6928561202
231,925491.1645796546
232,903451.1930243233
233,2040500.816852096
234,1087800.9606840792
235,1327783.7617951634
236,842178.5449508424
237,833090.0794188129
238,1776310.1297072773
239,1654131.1006343896
240,972738.4784495924
241,568142.6066853395
242,1953492.0344251636
243,1459509.9864619714
244,2057586.775804068
245,318111.09406474466
246,475402.3368975925
247,1447807.5329536195
248,1186429.483258285
249,1574435.475933846
250,471029.5940187343
251,786338.6213176954
252,1284334.2120253812
253,713791.4324445152
254,889753.7182348385
255,743604.8985988023
256,1307064.3881201274
257,1183478.2147571645
258,1077150.8576122283
259,625745.6597976955
260,482987.89290197846
261,826540.2925001909
262,1105364.450591735
263,1212347.2944618715
264,1890933.8463095254
265,1407187.517010083
266,1409012.4865905805
267,1465482.4765956595
268,1245052.3443710974
269,1185546.6387261974
270,1028731.5473191764
271,1233030.3118102336
272,993771.8673867255
273,1557953.6128467284
274,527927.7211280785
275,1056991.223493772
276,856998.5099235137
277,1057358.8145048236
278,791467.1252706992
279,1416277.0436834064
280,1204575.5039950837
281,33142.697589003015
282,818157.8489645098
283,976682.75703475
284,661353.8132027248
285,1520229.092373808
286,1135016.792128261
287,1476893.5860838923
288,1709664.441972422
289,428730.7908288501
290,1870659.82613541
291,1950621.6504524807
292,1306449.0250325254
293,2265455.028591101
294,1144945.1983330431
295,1744065.2923033135
296,289233.02219635504
297,549559.9963887061
298,1006681.9273841437
299,656999.9352079057
300,845593.9338241422
301,728139.4600826914
302,2245268.4450514037
303,461073.6385469241
304,2098401.0656832624
305,706100.0945145381
306,1060006.4181156121
307,1220446.5489813304
308,820127.7110766561
309,742141.6954038003
310,440854.37209413806
311,701483.701000747
